gene	cluster	avg_log2FC	pct.1	pct.2	pct_diff	p_val	p_val_adj
Rreb1	1	0.882416085707849	0.795	0.388	0.407	6.64889414679035e-89	2.14659547529126e-84
Epha3	1	0.880157777371155	0.793	0.438	0.355	1.0725651576924e-69	3.46277661160991e-65
Camk4	1	0.865984659458007	0.944	0.76	0.184	8.50335529454383e-85	2.74530825684348e-80
Gfra1	1	0.857374130007903	0.755	0.333	0.422	8.9824543489855e-86	2.89998538656997e-81
Lrfn2	1	0.852917919163871	0.929	0.658	0.271	4.52180809035002e-89	1.4598657419695e-84
Cdh12	1	0.811663085324833	0.926	0.536	0.39	4.24864609159075e-76	1.37167539067007e-71
Ell2	1	0.801411683950841	0.758	0.355	0.403	2.67075256029548e-75	8.62252464091397e-71
Parm1	1	0.790120416535937	0.739	0.386	0.353	1.92159391688003e-57	6.20386596064718e-53
Ntn1	1	0.790047055013966	0.495	0.107	0.388	5.07453712602494e-82	1.63831431113715e-77
Snx24	1	0.787927447425443	0.765	0.43	0.335	2.44306190558382e-71	7.88742536217736e-67
Nucb2	1	0.778940486315318	0.657	0.31	0.347	3.2425637185502e-65	1.04686169653393e-60
Cacna2d3	1	0.778914133081181	0.928	0.725	0.203	1.07361192095888e-67	3.46615608681574e-63
Nptx1	1	0.764955470905185	0.623	0.259	0.364	1.02803958180235e-69	3.31902578984887e-65
Ptprk	1	0.762558894523648	0.961	0.627	0.334	7.90889280183292e-79	2.55338604107176e-74
Thsd4	1	0.760008826783154	0.735	0.487	0.248	1.04250108579804e-47	3.36571475549897e-43
Atp2b4	1	0.745795043483793	0.683	0.341	0.342	2.41928464215445e-63	7.81066046719565e-59
Me3	1	0.740942745010738	0.82	0.497	0.323	1.07245056129241e-68	3.46240663713254e-64
Pfkp	1	0.740780621421129	0.911	0.667	0.244	1.13588457116013e-69	3.66720333799049e-65
Klhl13	1	0.73393847549765	0.739	0.41	0.329	4.23959265699613e-57	1.3687524893112e-52
Zfp521	1	0.733803326558327	0.927	0.778	0.149	8.51162208929835e-64	2.74797719152997e-59
Slc7a14	1	0.732638443506576	0.852	0.617	0.235	3.84733933729588e-55	1.24211350504598e-50
Mta3	1	0.72678731455773	0.787	0.481	0.306	9.62406528800602e-67	3.10712947823274e-62
Mccc2	1	0.719510819788724	0.698	0.391	0.307	2.38052366546078e-58	7.68552065394012e-54
Apba2	1	0.716932025523164	0.931	0.763	0.168	1.14249588167345e-68	3.68854795398274e-64
Mid1	1	0.710596336588256	0.462	0.174	0.288	2.88057365818561e-48	9.29993205545225e-44
A430090L17Rik	1	0.706277886049009	0.616	0.332	0.284	7.96424823894941e-45	2.57125754394482e-40
Ptpro	1	0.698813671950036	0.938	0.791	0.147	5.24434701793073e-76	1.69313743473894e-71
2510009E07Rik	1	0.698393078734412	0.805	0.495	0.31	3.12566705258244e-63	1.00912160792624e-58
Sfta3-ps	1	0.696551792368085	0.945	0.795	0.15	3.28679316681683e-70	1.06114117390681e-65
4930522L14Rik	1	0.693498774287462	0.385	0.06	0.325	5.73445305422557e-70	1.85136816855672e-65
Ogt	1	0.692588285018977	0.953	0.822	0.131	8.04609810149479e-81	2.59768277206759e-76
4930445B16Rik	1	0.690158050365693	0.856	0.622	0.234	3.29822564491556e-48	1.06483214946099e-43
Armh4	1	0.680141952399572	0.691	0.372	0.319	7.25484762418569e-58	2.34222755546835e-53
Ext1	1	0.671722799092963	0.907	0.695	0.212	1.847696027822e-58	5.96528662582332e-54
Tmtc4	1	0.67097177786452	0.618	0.314	0.304	7.97946691087679e-50	2.57617089217657e-45
Dchs2	1	0.669098169844333	0.705	0.38	0.325	4.46048359773766e-57	1.4400671295296e-52
Has2os	1	0.667798641017252	0.389	0.14	0.249	2.51972393218113e-38	8.13492871504676e-34
Abtb2	1	0.662170878934866	0.606	0.302	0.304	2.9940731980482e-46	9.6663653198986e-42
Susd1	1	0.656828557202191	0.579	0.254	0.325	1.29270814022832e-58	4.17350823072713e-54
Slc4a4	1	0.656647527072794	0.484	0.151	0.333	2.77443063885513e-62	8.9572493175438e-58
Rorb	1	0.655550823528192	0.344	0.111	0.233	5.80453867142548e-37	1.87399531006971e-32
Dgkg	1	0.648372846902302	0.569	0.302	0.267	1.68256188712388e-41	5.43215105257946e-37
Adarb2	1	0.647654326559117	0.775	0.604	0.171	5.33256728588499e-26	1.72161934824797e-21
Sgms2	1	0.645871776017737	0.568	0.261	0.307	2.67776372709193e-52	8.6451601929163e-48
Dab2	1	0.644626599411716	0.476	0.18	0.296	1.36395776611994e-47	4.40353764791824e-43
Slc8a1	1	0.642225039630998	0.935	0.745	0.19	3.09143301959297e-50	9.98069150375591e-46
D630045J12Rik	1	0.64076064924951	0.847	0.661	0.186	1.8938540906159e-48	6.11430793155343e-44
Lef1	1	0.634156302372294	0.737	0.504	0.233	2.20840324057776e-38	7.12982986220529e-34
Epb41l5	1	0.632681835249866	0.676	0.385	0.291	6.87965443821699e-52	2.22109643537835e-47
Msi2	1	0.628580839188744	0.949	0.833	0.116	5.88933970267012e-64	1.90137332300705e-59
Klhl1	1	0.6274648234353	0.813	0.592	0.221	1.52735523660731e-45	4.93106638138669e-41
Tsc22d1	1	0.621806259096242	0.939	0.826	0.113	2.86446295443169e-58	9.24791864838271e-54
Gm44129	1	0.620142684970772	0.567	0.266	0.301	3.17505812673881e-48	1.02506751621763e-43
Fam171b	1	0.618859599844317	0.834	0.59	0.244	2.18891001244538e-49	7.06689597517992e-45
Tent5a	1	0.613706280213153	0.57	0.273	0.297	1.70056973935824e-48	5.49028940351807e-44
Maged2	1	0.61145114554514	0.611	0.329	0.282	2.9472662666953e-45	9.51524914202579e-41
Gm4258	1	0.608954436475201	0.698	0.433	0.265	5.79081542505251e-39	1.8695647599782e-34
Galnt18	1	0.60827391347597	0.684	0.424	0.26	4.13617408894043e-38	1.33536380461442e-33
Vmp1	1	0.608266797872725	0.786	0.596	0.19	3.92547556266531e-33	1.2673397854065e-28
Htr2c	1	0.605276232346611	0.958	0.843	0.115	5.91965501328451e-37	1.9111606210389e-32
Adcy5	1	0.587085676886805	0.814	0.535	0.279	1.98326499063731e-48	6.40297102227256e-44
Clstn2	1	0.585300064336269	0.933	0.815	0.118	3.92410809767936e-44	1.26689829933578e-39
Fras1	1	0.584173500523782	0.532	0.337	0.195	1.58881492267826e-25	5.12948897786677e-21
Slit2	1	0.582798013338257	0.893	0.692	0.201	1.51703551633207e-38	4.89774916447808e-34
Mir670hg	1	0.581502741270982	0.579	0.371	0.208	3.09157212761641e-28	9.9811406140096e-24
Pcdh10	1	0.579975566140567	0.651	0.364	0.287	4.03119245092022e-42	1.30147048277959e-37
Sez6l	1	0.578439137877549	0.657	0.375	0.282	8.97627957025679e-43	2.89799185925741e-38
Pbx1	1	0.57378825842156	0.935	0.79	0.145	1.06387216784915e-47	3.434711293901e-43
Cemip	1	0.569800891001052	0.626	0.431	0.195	9.06886173651721e-26	2.92788201163458e-21
Daam1	1	0.559169466174004	0.891	0.739	0.152	2.34399268561837e-44	7.5675803855189e-40
Pde1c	1	0.558670325696515	0.454	0.203	0.251	5.76372385648624e-37	1.86081824706658e-32
Palmd	1	0.557260591699876	0.567	0.234	0.333	1.99846901090227e-48	6.45205720169799e-44
Snd1	1	0.552032575115197	0.875	0.708	0.167	1.7062272013783e-46	5.50855451964986e-42
Pcnx	1	0.549376960955692	0.834	0.67	0.164	2.63930337970533e-41	8.52099096137865e-37
Igf1r	1	0.548799705610193	0.809	0.657	0.152	1.25155820510293e-32	4.04065566517482e-28
Lrrc4	1	0.548667111216543	0.891	0.719	0.172	4.32728856391647e-38	1.39706511286043e-33
Tnfaip8	1	0.548337060071012	0.336	0.112	0.224	5.66913837059935e-37	1.830281322948e-32
Abca4	1	0.545004808792655	0.501	0.217	0.284	2.41177154800607e-44	7.78640444273761e-40
Unc13b	1	0.543940590812841	0.879	0.672	0.207	4.18211916986978e-42	1.35019717399246e-37
Iqsec3	1	0.542410868942507	0.743	0.545	0.198	5.9491602570276e-32	1.92068638898136e-27
Arhgef28	1	0.541221765776572	0.735	0.492	0.243	9.26178335630641e-42	2.99016675658353e-37
Gm44148	1	0.538087349271262	0.395	0.133	0.262	3.06337276752861e-43	9.8900989799661e-39
Vcan	1	0.537087781309242	0.355	0.149	0.206	1.11024980108949e-28	3.58444148281742e-24
Pik3r1	1	0.53207381016904	0.646	0.4	0.246	1.92260357720936e-34	6.2071256490204e-30
Prune2	1	0.528832307350422	0.728	0.469	0.259	1.73483742777465e-40	5.60092263557047e-36
Col8a1	1	0.526315214609005	0.616	0.446	0.17	2.4105457139414e-18	7.78244683745982e-14
Lrmda	1	0.514575711233476	0.418	0.203	0.215	4.45191234785248e-28	1.43729990150417e-23
Tspan2	1	0.51105911022778	0.488	0.226	0.262	8.5679488781619e-41	2.76616229531457e-36
Plce1	1	0.506955469625109	0.677	0.434	0.243	8.01763642293436e-30	2.58849391914436e-25
Ghr	1	0.503381376271755	0.781	0.57	0.211	2.11208191911612e-28	6.8188564758664e-24
Slc6a15	1	0.501058912747723	0.688	0.473	0.215	1.04569963781823e-30	3.37604128069615e-26
Pcdh19	1	0.500079924779629	0.657	0.435	0.222	1.42173693205912e-29	4.59007768515287e-25
